Acquisition Date,Publish Date,Orbit,Platform
2026-08-24,2026-08-27,8,S2C
2026-08-25,2026-08-28,22,S2C
2026-08-26,2026-08-29,8,S2A
2026-08-26,2026-08-29,108,S2B
2026-08-27,2026-08-30,22,S2A
2026-08-28,2026-08-31,65,S2C
2026-08-29,2026-09-01,8,S2B
2026-08-30,2026-09-02,65,S2A
2026-08-30,2026-09-02,22,S2B
2026-08-31,2026-09-03,108,S2C
2026-09-02,2026-09-05,108,S2A
2026-09-03,2026-09-06,8,S2C
2026-09-04,2026-09-07,22,S2C
2026-09-05,2026-09-08,8,S2A
2026-09-06,2026-09-09,22,S2A
2026-09-07,2026-09-10,65,S2C
